,latitude,longitude,danger
0,38.51869752975781,-75.495134068726,4
1,38.51882414646034,-75.66735709712943,0
2,38.51907738158143,-76.01180406276316,2
3,38.519204,-76.184028,0
4,38.65344560405834,-75.495134068726,1
5,38.65357222076088,-75.66735709712943,0
6,38.653698838035425,-75.83958042847405,2
7,38.65382545588197,-76.01180406276316,0
8,38.78819367835887,-75.495134068726,3
9,38.78832029506142,-75.66735709712943,1
10,38.78844691233595,-75.83958042847405,0
11,38.788573530182504,-76.01180406276316,1
12,38.78870014860107,-76.18402800000001,0
13,38.922941752659405,-75.495134068726,3
14,38.92306836936195,-75.66735709712943,0
15,38.92319498663649,-75.83958042847405,0
16,38.923321604483036,-76.01180406276316,0
17,38.923448222901605,-76.18402800000001,0
18,39.05768982695994,-75.495134068726,1
19,39.05781644366248,-75.66735709712943,4
20,39.05794306093702,-75.83958042847405,0
21,39.05806967878357,-76.01180406276316,0
22,40.52647632755708,-75.47896763748422,2
23,40.52661227881096,-75.65624318188522,3
24,40.52674823071558,-75.83351908588443,1
25,40.526884183270944,-76.01079534948605,0
26,40.52702013647707,-76.18807197269423,0
27,40.527156090333946,-76.36534895551316,0
28,40.52729204484159,-76.54262629794702,0
29,40.527428,-76.719904,0
30,40.60128044491545,-73.08620549590809,4
31,40.60141675462452,-73.26367927290865,0
32,40.6015530649875,-73.4411534118139,0
33,40.6016893760044,-73.61862791262806,2
34,40.60182568767523,-73.79610277535537,1
35,40.601962,-73.973578,1
36,40.66122440185761,-75.47896763748422,2
37,40.66136035311149,-75.65624318188522,0
38,40.66163225757148,-76.01079534948605,0
39,40.6617682107776,-76.18807197269423,0
40,40.66190416463448,-76.36534895551317,0
41,40.73575590175958,-72.73125902760421,0
42,40.73589221016084,-72.90873208080801,1
43,40.73602851921599,-73.08620549590809,2
44,40.73616482892506,-73.26367927290865,2
45,40.736301139288045,-73.4411534118139,2
46,40.73643745030495,-73.61862791262806,1
47,40.73657376197577,-73.79610277535537,1
48,40.73671007430053,-73.973578,1
49,40.76471261338519,-73.52304088091594,3
50,40.76484970904751,-73.70095036018775,1
51,40.76498680537075,-73.87886020645615,1
52,40.76512390235491,-74.05677041972547,2
53,40.765261,-74.234681,1
54,40.79597247615814,-75.47896763748422,4
55,40.79610842741204,-75.65624318188522,4
56,40.79624437931665,-75.83351908588443,0
57,40.796380331872015,-76.01079534948605,0
58,40.796516285078134,-76.18807197269423,4
59,40.79665223893502,-76.36534895551317,4
60,40.79678819344265,-76.54262629794702,1
61,40.79692414860107,-76.719904,4
62,40.87009505477976,-72.1988420393282,0
63,40.870231361219325,-72.37631400686851,0
64,40.870367668312774,-72.55378633629245,2
65,40.870503976060114,-72.73125902760421,2
66,40.87064028446138,-72.90873208080801,2
67,40.87077659351653,-73.08620549590809,3
68,40.8709129032256,-73.26367927290865,3
69,40.87104921358858,-73.4411534118139,1
70,40.87118552460549,-73.61862791262806,2
71,40.8713218362763,-73.79610277535537,1
72,40.87145814860107,-73.973578,1
73,40.89959778334804,-73.70095036018775,1
74,40.89973487967128,-73.87886020645615,2
75,40.89987197665545,-74.05677041972547,2
76,40.900009074300534,-74.234681,1
77,40.93072055045868,-75.47896763748422,0
78,40.93085650171257,-75.65624318188522,0
79,40.93099245361718,-75.83351908588443,0
80,40.93112840617255,-76.01079534948605,1
81,40.93126435937867,-76.18807197269423,4
82,40.93153626774318,-76.54262629794702,4
83,40.931672222901604,-76.719904,0
84,41.004570518162815,-71.84389918988155,0
85,41.00470682329461,-72.02137043366727,0
86,41.00484312908029,-72.1988420393282,2
87,41.00497943551987,-72.37631400686851,3
88,41.005115742613306,-72.55378633629245,0
89,41.00538835876191,-72.90873208080801,0
90,41.00552466781706,-73.08620549590809,1
91,41.005797287889116,-73.4411534118139,2
92,41.00593359890602,-73.61862791262806,2
93,41.00606991057684,-73.79610277535537,2
94,41.006206222901604,-73.973578,2
95,41.03420876198626,-73.52304088091594,2
96,41.034345857648574,-73.70095036018775,0
97,41.034482953971825,-73.87886020645615,0
98,41.03462005095599,-74.05677041972547,1
99,41.03475714860108,-74.234681,2
100,41.06546862475921,-75.47896763748422,0
101,41.0656045760131,-75.65624318188522,0
102,41.065740527917725,-75.83351908588443,0
103,41.06587648047309,-76.01079534948605,0
104,41.0660124336792,-76.18807197269423,0
105,41.06614838753609,-76.36534895551317,0
106,41.066284342043716,-76.54262629794702,0
107,41.168956836286796,-73.52304088091594,2
108,41.169093931949114,-73.70095036018775,2
109,41.16923102827235,-73.87886020645615,1
110,41.169368125256526,-74.05677041972547,1
111,41.16950522290161,-74.234681,0
112,41.20021669905975,-75.47896763748422,0
113,41.20035265031363,-75.65624318188522,0
114,41.20048860221826,-75.83351908588443,1
115,41.20062455477361,-76.01079534948605,4
116,41.201168371502675,-76.719904,0
117,41.30370491058733,-73.52304088091594,4
118,41.30384200624965,-73.70095036018775,2
119,41.30397910257288,-73.87886020645615,2
120,41.30411619955705,-74.05677041972547,2
121,41.304253297202145,-74.234681,1
122,41.334964773360284,-75.47896763748422,0
123,41.335100724614165,-75.65624318188522,1
124,41.33523667651878,-75.83351908588443,1
125,41.33537262907415,-76.01079534948605,0
126,41.335508582280276,-76.18807197269423,0
127,41.46971284766082,-75.47896763748422,0
128,41.469848798914704,-75.65624318188522,1
